#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
daughter of Zion	-1	Female				JER 4:31 <-(20 more)-> ZEP 3:17
daughters of Philip the evangelist	4	Female				ACT 20:12
daughters of Zelophehad	-1	Female				NUM 27:3 <-(1 more)-> JOS 17:4	Daughter of Zelophehad (female)
David	1	Male	Adult			1SA 17:26 <-(402 more)-> PRO 4:9
David (old)	1	Male	Elder			1KI 1:16 <-(14 more)-> 1KI 2:9
David's enemies	-1	Male				PSA 3:2 <-(12 more)-> PSA 71:11
David's men	-1	Male				1SA 23:3 <-(2 more)-> 2SA 21:17
David's supporters	-1					PSA 35:27
Deborah	1	Female			prophetess	JDG 4:6 <-(32 more)-> JDG 5:31
Delaiah	1	Male			son of Shemaiah	JER 36:15 <-(3 more)-> JER 36:25
Delilah	1	Female				JDG 16:6 <-(7 more)-> JDG 16:20
Demetrius the silversmith	1	Male				ACT 19:25 <-(1 more)-> ACT 19:27
demons (Legion)	-1	Male				MAT 8:29 <-(9 more)-> LUK 8:32	Man (Legion) Possessed
demons coming out of people	-1					LUK 4:41
disciple who wanted to bury his father	1	Male				MAT 8:21 & LUK 9:59
disciples	11	Male			Not Judas Iscariot (after Acts 1:23, this could include Matthias)	MAT 8:25 <-(105 more)-> JUD 1:18
disciples (but not Thomas)	10	Male				JHN 20:25
disciples in Ephesus, some	-1					ACT 19:2 & ACT 19:3
disciples of John the Baptist	-1	Male				MAT 9:14 <-(6 more)-> JHN 3:26	Disciple of John
disciples, some	-1					LUK 21:5
disciples, two men (from Joppa)	2	Male				ACT 9:38 & ACT 9:39
Doeg the Edomite	1	Male				1SA 22:9 <-(1 more)-> PSA 52:0
donkey (female)	1	Female				NUM 22:28 <-(1 more)-> 2PE 2:16
dream	1	Male				MAT 2:12 & MAT 2:22
dreamers	-1	Either				JUD 1:8
drunkard	1	Male				PRO 23:35
each one	1					2CO 9:7
eagle crying with loud voice	1	PreferMale				REV 8:13
ear	1	Neuter				1CO 12:16
Ebed-Melech (official of king of Judea)	1	Male			Ethiopian eunuch	JER 38:9 & JER 38:12
Edom	1	Male				NUM 20:18 <-(2 more)-> MAL 1:4
Edomites	-1					PSA 137:7
Eglon, king of Moab	1	Male				JDG 3:19
Egyptian (slave of Amalekite)	1					1SA 30:13 <-(1 more)-> 1SA 30:15
Egyptians	-1					EXO 12:33 <-(4 more)-> JER 46:16
Egyptians, all the	-1					GEN 47:15 <-(2 more)-> GEN 47:25
Ehud, Israelite deliverer	1	Male				JDG 3:19 <-(1 more)-> JDG 3:28
eighty other priests	80	Male				2CH 26:18
Ekron, people of	-1					1SA 5:10 & 1SA 5:11
Elasah, son of Shaphan	1	Male				JER 29:4 <-(18 more)-> JER 29:23
elders	-1	Male	Elder			RUT 4:11 <-(34 more)-> ACT 4:18
elders in Shechem	-1	Male	Elder			1KI 12:7 & 2CH 10:7	Elder
elders of Israel	-1	Male	Elder			EXO 16:22 <-(10 more)-> 1SA 8:6
elders of Jabesh	-1	Male	Elder			1SA 11:3	Man of Jabesh
elders of the Jews	-1	Male	Elder			LUK 7:3 <-(1 more)-> LUK 7:5
elders of the land	-1	Male	Elder			JER 26:18 <-(4 more)-> JER 26:23	Elder
elders of the town	-1	Male	Elder			DEU 21:7 <-(1 more)-> DEU 25:8
elders, Ephesian	-1	Male	Elder			ACT 20:37 & ACT 20:38
elders, one of the	1	Male	Elder			REV 5:5 <-(4 more)-> REV 7:17
Eleazar the priest, son of Aaron	1	Male	Adult			NUM 26:4 <-(3 more)-> NUM 31:24
Eleven	11	Male	Adult		This should be spoken by one of the 11 disciples (excluding Judas Iscariot). The wording suggests that it was not Simon Peter.	LUK 24:34
Eli	1	Male	Elder			1SA 1:14 <-(12 more)-> 1SA 4:16
Eliab, David's brother	1	Male				1SA 17:28
Eliakim	1	Male				2KI 18:26 <-(4 more)-> ISA 37:4
Eliezer the prophet, son of Dodavahu	1	Male				2CH 20:37
Elihu, son of Barakel	1	Male				JOB 32:6 <-(155 more)-> JOB 37:24
Elijah	1	Male				1KI 17:1 <-(48 more)-> JAS 5:17
Eliphaz the Temanite	1	Male				JOB 4:2 <-(108 more)-> JOB 22:30
Elisha	1	Male	Adult			1KI 19:20 <-(66 more)-> 2KI 9:3
Elisha (old)	1	Male	Elder			2KI 13:15 <-(3 more)-> 2KI 13:19
Elisha's messenger	1				possibly Gehazi, but not named in this passage	2KI 5:10
Elishama	1	Male			scribe	JER 36:15 <-(2 more)-> JER 36:19
Elizabeth	1	Female	Elder			LUK 1:25 <-(4 more)-> LUK 1:60
Elkanah	1	Male				1SA 1:8 & 1SA 1:23
Elnathan	1	Male			son of Achbor	JER 36:15 <-(3 more)-> JER 36:25
Elymas	1	Male			magician	ACT 13:8
enemies of God	-1					PSA 74:8 & LAM 2:16
enemies of Israel	-1					PSA 83:4 <-(2 more)-> EZK 36:2
enemies of Judah and Benjamin	-1	Male				EZR 4:2 & NEH 4:11
enemy (female)	1	Female				MIC 7:10
Enoch	1	Male				JUD 1:14 & JUD 1:15
Ephraim	-1	Male			The tribe (collectively personified), not the actual tribal forefather, nor a specific descendent	ISA 7:6 <-(3 more)-> HOS 12:8
Ephraimites	-1				i.e., specific/individual men of the tribe of Ephraim	JDG 8:1 <-(3 more)-> JDG 12:6	Ephraimite
Ephron the Hittite	1	Male				GEN 23:11 & GEN 23:15
Epicurean and Stoic philosophers	-1					ACT 17:19 & ACT 17:20	Philosopher
Epicurean and Stoic philosophers, interested	-1					ACT 17:32
Epicurean and Stoic philosophers, other	-1					ACT 17:18
Epicurean and Stoic philosophers, sneering	-1					ACT 17:32
Epicurean and Stoic philosophers, some	-1					ACT 17:18
Esau	1	Male	Adult			GEN 25:30 <-(12 more)-> GEN 33:15
Esther, queen	1	Female	Adult			EST 4:11 <-(9 more)-> EST 9:13
Ethan	1	Male	Adult			
Ethiopian officer of Queen Candace	1	Male				ACT 8:31 <-(3 more)-> ACT 8:38	Foreigner
Ethiopians	-1					ISA 45:14 & ISA 45:15
eunuch	-1					ISA 56:3
Eve	1	Female	Adult			GEN 3:2 <-(3 more)-> GEN 4:25
every created thing	-1					REV 5:13
every tongue	-1					ISA 45:24
everyone	-1					JER 6:14 <-(5 more)-> PHP 2:11
everyone in Judean hills who heard	-1					LUK 1:65 & LUK 1:66
everyone seeing healing of paralyzed man	-1					LUK 5:26
everyone who saw healing of paralytic	-1					MRK 2:12
everyone who witnessed healing of boy	-1					LUK 9:43
evil men and troublemakers	-1	Male				1SA 30:22
evil spirit in possessed man	1	Male				ACT 19:15
evil spirits	-1					MRK 1:34 & MRK 3:11
exiles	-1					ISA 48:20
expert in religious law	1	Male			also "lawyer" (Gr. nomikos)	MAT 22:33 <-(7 more)-> LUK 10:37
experts in religious law, one of the	1	Male			also "lawyer" (Gr. nomikos)	LUK 11:45
explorers, ten	10	Male				NUM 13:27 <-(4 more)-> NUM 13:33
eye	1	Neuter				1CO 12:21
Ezekiel	1	Male				EZK 3:27 <-(657 more)-> EZK 48:29
Ezra, priest and teacher	1	Male				EZR 5:4 <-(15 more)-> NEH 8:15	Ezra
false prophets	-1	Male				JER 14:13 <-(15 more)-> ZEC 13:6
false teachers	-1					1TI 4:3
false witnesses	-1					ACT 6:13 & ACT 6:14
false witnesses, many	-1					MRK 14:56
family heads of Gilead	-1	Male				NUM 36:2 <-(1 more)-> NUM 36:4
father of accused daughter	1	Male				DEU 22:16 & DEU 22:17
